miRNA id,logFC,AveExpr,t,P.Value,adj.P.Val,B
ENSMUSG00000076128,-3.381089447,0.071629839,-2.644682774,0.01651938,0.139124155,-3.053079493
ENSMUSG00000088860,2.147080152,3.012025302,2.653487865,0.016215286,0.139124155,-3.048722107
ENSMUSG00000098613,-3.367771684,-0.210256765,-2.548714267,0.020205088,0.165008221,-3.22831235
ENSMUSG00000065585,-2.431594347,4.702669497,-2.552437678,0.020048606,0.165008221,-3.277512818
ENSMUSG00000098499,-3.611225333,-0.024807137,-2.530329823,0.020994803,0.167737479,-3.259194924
ENSMUSG00000065475,1.207848681,15.09376539,2.526528603,0.021161686,0.167737479,-3.749432623
ENSMUSG00000076143,-2.228942975,3.766245366,-2.49983088,0.022369544,0.174741802,-3.34569077
ENSMUSG00000092827,-3.026492844,1.425422439,-2.474861232,0.023557781,0.178840057,-3.35606071
ENSMUSG00000092870,2.252463964,0.7948818,2.477629659,0.023423169,0.178840057,-3.3713106
ENSMUSG00000065601,2.111127401,11.98852504,2.457456962,0.024420858,0.18281726,-3.758380559
ENSMUSG00000105814,-2.579579176,2.450154302,-2.398534455,0.027568301,0.195517292,-3.49194258
ENSMUSG00000065593,1.505880438,9.332980559,2.410094265,0.026922328,0.195517292,-3.726776064
ENSMUSG00000106236,1.815718974,-0.02543283,2.406332745,0.027130954,0.195517292,-3.495237735
ENSMUSG00000065560,1.960123717,10.40598211,2.400520599,0.027456292,0.195517292,-3.792718682
ENSMUSG00000065440,1.284866812,10.12897484,2.378877357,0.028700141,0.200900988,-3.822236819
ENSMUSG00000105758,1.070885891,9.407287368,2.369126094,0.029277578,0.202315572,-3.807015344
ENSMUSG00000065446,1.510702593,9.048846113,2.350764478,0.030394415,0.207374552,-3.821804951
ENSMUSG00000088901,2.150338922,4.433433014,2.333281032,0.031494607,0.212194914,-3.648506768
ENSMUSG00000065613,1.931064004,10.22654517,2.267135707,0.036000481,0.239558754,-4.024323384
ENSMUSG00000099169,1.399546299,9.618542985,2.25022223,0.037244799,0.244816422,-4.029763866
ENSMUSG00000099292,-2.560254824,-0.125655009,-2.214437864,0.040009287,0.250755883,-3.809478072
ENSMUSG00000065579,1.221025299,9.436802842,2.215464969,0.039927374,0.250755883,-4.08242477
ENSMUSG00000065532,1.8531184,-0.216031184,2.218375079,0.039696125,0.250755883,-3.819672495
ENSMUSG00000065483,2.311170722,4.128435076,2.218857174,0.039657935,0.250755883,-3.834265009
ENSMUSG00000098511,-2.745396785,-0.564065338,-2.198211551,0.041324038,0.256019043,-3.847242056
ENSMUSG00000080669,-2.692264225,-0.910205452,-2.172367141,0.043500237,0.257655248,-3.899365694
ENSMUSG00000098588,-2.679386283,-0.325672726,-2.177199342,0.043085527,0.257655248,-3.876178383
ENSMUSG00000095323,-2.155620239,6.040561761,-2.172654763,0.04347545,0.257655248,-3.997419519
ENSMUSG00000065441,1.228843356,7.193348962,2.182077699,0.042670536,0.257655248,-4.029478438
ENSMUSG00000080441,-2.991834865,6.783543485,-2.154927623,0.045027519,0.260965945,-4.06125236
ENSMUSG00000065462,2.109409021,2.551005894,2.156056312,0.044927208,0.260965945,-3.913125539
ENSMUSG00000065479,1.766471171,11.86757737,2.121556592,0.048087422,0.275735325,-4.359704032
ENSMUSG00000065549,2.16573931,2.450474931,2.116031971,0.048611911,0.275808631,-3.982486658
ENSMUSG00000099330,-2.532968413,-0.349366235,-2.073322366,0.052845571,0.293647039,-4.047860192
ENSMUSG00000092727,-2.095430379,1.431645276,-2.077989242,0.0523672,0.293647039,-4.016941004
ENSMUSG00000105841,-3.324025896,0.475266562,-2.040805407,0.056290034,0.2974542,-4.085604565
ENSMUSG00000098762,-2.993241595,0.250285435,-2.046874485,0.055632139,0.2974542,-4.075023791
ENSMUSG00000098562,-2.807325998,-0.025194618,-2.061166666,0.05411022,0.2974542,-4.056854094
ENSMUSG00000065398,-1.564813301,3.703569452,-2.044638002,0.055873764,0.2974542,-4.118345107
ENSMUSG00000065612,0.8604538,13.48679025,2.047075956,0.055610419,0.2974542,-4.561907618
ENSMUSG00000092784,-3.025348456,1.400181076,-2.016234246,0.059025936,0.303184929,-4.127392146
ENSMUSG00000099258,-2.797988806,0.634338695,-2.002161083,0.060646326,0.303184929,-4.143331189
ENSMUSG00000098580,-2.658632556,-0.290786386,-1.993918588,0.061613834,0.303184929,-4.17155424
ENSMUSG00000098522,-2.364198622,-0.302003435,-2.002352302,0.060624043,0.303184929,-4.159965808
ENSMUSG00000106366,-1.915005049,2.608094257,-2.000902524,0.060793167,0.303184929,-4.154370055
ENSMUSG00000065509,1.186708299,7.963627203,1.990642239,0.062002248,0.303184929,-4.390599816
ENSMUSG00000093091,1.721946299,0.270249322,1.990062359,0.062071222,0.303184929,-4.187807554
ENSMUSG00000076338,1.855981816,3.311777962,1.986997044,0.062436971,0.303184929,-4.19224152
ENSMUSG00000070127,2.715536644,12.38663882,2.022321795,0.058337169,0.303184929,-4.546818269
ENSMUSG00000065503,1.244699449,10.27198876,1.976014362,0.063763331,0.306861029,-4.531918045
ENSMUSG00000076066,1.541020283,7.624512374,1.970437622,0.064446442,0.307403826,-4.405246852
ENSMUSG00000077931,-2.191548515,8.918617146,-1.958094595,0.065981722,0.311966213,-4.497133882
ENSMUSG00000105379,1.881789373,1.029098596,1.938080642,0.068540699,0.321247278,-4.271939476
ENSMUSG00000098904,-2.060564009,1.008917753,-1.915959139,0.071471766,0.332097256,-4.272256724
ENSMUSG00000099284,-2.13372237,-0.508712949,-1.902233329,0.073345959,0.332214048,-4.323382747
ENSMUSG00000076269,1.560672974,4.399494895,1.903623451,0.073154179,0.332214048,-4.356724631
ENSMUSG00000098453,1.775227967,0.422678014,1.90715713,0.072668678,0.332214048,-4.317992389
ENSMUSG00000098325,-2.80436677,0.306187817,-1.893858457,0.074510815,0.334677742,-4.312443549
ENSMUSG00000092734,-2.482163719,2.691353572,-1.884189737,0.075875997,0.337993077,-4.340814828
ENSMUSG00000065405,1.184901516,12.38519748,1.860403169,0.079329168,0.350478866,-4.821991229
ENSMUSG00000098376,-2.162347151,-0.342464935,-1.855486695,0.080059965,0.35070769,-4.391003837
ENSMUSG00000098415,-1.658242612,1.077248966,-1.851331076,0.080682289,0.35070769,-4.367894013
ENSMUSG00000080574,-2.356719481,0.751988667,-1.840166936,0.082375317,0.355202365,-4.389660887
ENSMUSG00000093087,-1.89210212,6.12140235,-1.832179774,0.08360566,0.357646433,-4.552790596
ENSMUSG00000099301,2.023148992,4.382355978,1.795608128,0.089447442,0.379623397,-4.518872947
ENSMUSG00000098280,-2.889232127,2.088489597,-1.789830875,0.090402201,0.380525992,-4.475977947
ENSMUSG00000099140,1.432391824,-0.397555915,1.785809118,0.091072083,0.380525992,-4.506227727
ENSMUSG00000099202,-1.881998838,1.38678556,-1.779782086,0.09208408,0.380741701,-4.473879681
ENSMUSG00000088639,1.499592834,0.333729967,1.777106435,0.09253648,0.380741701,-4.511410359
ENSMUSG00000098944,-1.628599289,-0.724273446,-1.772158552,0.093378172,0.381294201,-4.530092886
ENSMUSG00000098907,-2.546088063,0.623434805,-1.755352874,0.096286943,0.387303449,-4.514838297
ENSMUSG00000093336,-1.776707208,4.873516227,-1.756326086,0.096116375,0.387303449,-4.606599782
ENSMUSG00000105770,-1.193400093,8.097648605,-1.741088261,0.098817303,0.394311867,-4.795958821
ENSMUSG00000065572,0.769307236,10.25986949,1.737335896,0.099492419,0.394311867,-4.910944369
ENSMUSG00000092745,-2.8818449,1.676406458,-1.686958968,0.108949314,0.395256025,-4.621097258
ENSMUSG00000098710,-2.699069603,1.524320631,-1.693257245,0.107726222,0.395256025,-4.607749718
ENSMUSG00000098655,-2.455791228,1.14566992,-1.730296528,0.100769698,0.395256025,-4.549945188
ENSMUSG00000104627,-2.089750814,10.6744967,-1.683924477,0.109542838,0.395256025,-5.013437687
ENSMUSG00000092794,-1.741822517,0.714450013,-1.694433787,0.107499056,0.395256025,-4.601217534
